Questionid,Datum,Dataset,Question Theme,Complexity Level,Correct2,Token count,Time to first token (ms),Structural assumption,Correct datasource/column,Semantic assumption,Correct interpretation field,Error Reason,Explanation error
1,30-Oct,Semantic,Development,General,Yes,13601,1816,No,N/A,No,N/A,N/A,
2,30-Oct,Semantic,Development,Direct Factual,Yes,21292,630,No,Yes,No,Yes,N/A,
3,30-Oct,Semantic,Development,Direct Analytical,Yes,36170,1086,No,Yes,No,Yes,N/A,
4,30-Oct,Semantic,Development,Multi-Step Analytical,Yes,68603,3456,No,Yes,Yes,Yes,N/A,Assumed `value_type='ruw'` indicates raw scores in Vineland data. Also assumed `'PROM_PROM_angst_Tscore'` represents the depressive complaints T-score for PROM.
5,30-Oct,Semantic,Development,Advanced Analytical,Yes,101227,994,No,Yes,Yes,Yes,N/A,Assumed social adaptive = AV
6,30-Oct,Semantic,PROMs,General,Yes,13931,3443,No,Yes,No,Yes,N/A,
7,30-Oct,Semantic,PROMs,Direct Factual,Yes,22842,1113,No,Yes,Yes,Yes,N/A,"Yes — Assumed that the substring 'cognitief_functioneren' identifies the ""cognitive functioning"" questionnaire."
8,30-Oct,Semantic,PROMs,Direct Analytical,Yes,37066,980,No,Yes,Yes,Yes,N/A,T-scores are represented under `item.item.answer.valueDecimal` for the `depressieve_klachten` PROM questionnaire.
9,30-Oct,Semantic,PROMs,Multi-Step Analytical,Yes,65143,3282,No,Yes,Yes,Yes,N/A,"Yes — interpreted `http://aumc.com/fhir/questionnaire/prom/depressieve_klachten` as ""depressive complaints"" PROM questionnaire.\n\nThis means 1 out of 5 patients in the dataset both meet the age requirement (>15 years) and have the PROMs for depressive complaints completed.'}"
10,30-Oct,Semantic,PROMs,Advanced Analytical,No,166012,3435,Yes,No,Yes,N/A,Structural,Unable to define correct steps to calculate the improvement over a period of 6 months. Incorrectly defining authored field as improvement time
11,30-Oct,Semantic,Lab,General,Yes,14162,1138,No,N/A,No,N/A,N/A,
12,30-Oct,Semantic,Lab,Direct Factual,Yes,71258,1470,No,Yes,No,Yes,N/A,
